date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-06-23,2,No,,,32003,11186,1748,0.027,0.032,0.054,0.145,0.742
2020-06-24,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,11481,1748,0.027,0.032,0.054,0.145,0.742
2020-06-25,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,11878,1748,0.027,0.032,0.054,0.145,0.742
2020-06-26,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,12204,1748,0.027,0.032,0.054,0.145,0.742
2020-06-27,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,13174,1748,0.027,0.032,0.054,0.145,0.742
2020-06-28,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,13910,1748,0.027,0.032,0.054,0.145,0.742
2020-06-29,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,14607,1748,0.027,0.032,0.054,0.145,0.742
2020-06-30,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,15095,1748,0.027,0.032,0.054,0.145,0.742
2020-07-01,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,15604,1748,0.027,0.032,0.054,0.145,0.742
2020-07-02,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,16180,1748,0.027,0.032,0.054,0.145,0.742
2020-07-03,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,17028,1748,0.027,0.032,0.054,0.145,0.742
2020-07-04,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,17707,1748,0.027,0.032,0.054,0.145,0.742
2020-07-05,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,18442,1748,0.027,0.032,0.054,0.145,0.742
2020-07-06,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,18818,1748,0.027,0.032,0.054,0.145,0.742
2020-07-07,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,19654,1748,0.027,0.032,0.054,0.145,0.742
2020-07-08,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,20126,1748,0.027,0.032,0.054,0.145,0.742
2020-07-09,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,20622,1748,0.027,0.032,0.054,0.145,0.742
2020-07-10,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,21449,1748,0.027,0.032,0.054,0.145,0.742
2020-07-11,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,22286,1748,0.027,0.032,0.054,0.145,0.742
2020-07-12,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,23048,1748,0.027,0.032,0.054,0.145,0.742
2020-07-13,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,23803,1748,0.027,0.032,0.054,0.145,0.742
2020-07-14,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,24824,1748,0.027,0.032,0.054,0.145,0.742
2020-07-15,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,25611,1748,0.027,0.032,0.054,0.145,0.742
2020-07-16,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,26926,1748,0.027,0.032,0.054,0.145,0.742
2020-07-17,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,28189,1748,0.027,0.032,0.054,0.145,0.742
2020-07-18,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,29304,1748,0.027,0.032,0.054,0.145,0.742
2020-07-19,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,30432,1748,0.027,0.032,0.054,0.145,0.742
2020-07-20,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,31312,1748,0.027,0.032,0.054,0.145,0.742
2020-07-21,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,32025,1748,0.027,0.032,0.054,0.145,0.742
2020-07-22,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,33057,1748,0.027,0.032,0.054,0.145,0.742
2020-07-23,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,34209,1748,0.027,0.032,0.054,0.145,0.742
2020-07-24,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,35000,1748,0.027,0.032,0.054,0.145,0.742
2020-07-25,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,35786,1748,0.027,0.032,0.054,0.145,0.742
2020-07-26,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,36593,1748,0.027,0.032,0.054,0.145,0.742
2020-07-27,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,37492,1748,0.027,0.032,0.054,0.145,0.742
2020-07-28,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,38534,1748,0.027,0.032,0.054,0.145,0.742
2020-07-29,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,39345,1748,0.027,0.032,0.054,0.145,0.742
2020-07-30,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,40193,1748,0.027,0.032,0.054,0.145,0.742
2020-07-31,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,41245,1748,0.027,0.032,0.054,0.145,0.742
2020-08-01,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,42167,1748,0.027,0.032,0.054,0.145,0.742
2020-08-02,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,43147,1748,0.027,0.032,0.054,0.145,0.742
2020-08-03,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,44066,1748,0.027,0.032,0.054,0.145,0.742
2020-08-04,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,44997,1748,0.027,0.032,0.054,0.145,0.742
2020-08-05,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,45563,1748,0.027,0.032,0.054,0.145,0.742
2020-08-06,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,46184,1748,0.027,0.032,0.054,0.145,0.742
